Time,Region,PC,PCC,ECPC,AP,Temperature
2021,KEN,269.72946,29.048954,29.048954,33.871506,1.5 deg at 50% with small overshoot
2021,KGZ,33.256725,10.781777,10.781777,12.617289,1.5 deg at 50% with small overshoot
2021,KHM,84.7013,50.148544,50.148544,58.18091,1.5 deg at 50% with small overshoot
2021,KIR,0.6542376,0.068819,0.068819,,1.5 deg at 50% with small overshoot
2021,KNA,,,0.19728875,,1.5 deg at 50% with small overshoot
2021,KOR,265.88852,607.0728,607.0728,810.1156,1.5 deg at 50% with small overshoot
2021,KWT,23.21628,103.28591,103.28591,138.27376,1.5 deg at 50% with small overshoot
2021,LAO,37.819683,54.592678,54.592678,65.04004,1.5 deg at 50% with small overshoot
2021,LBN,29.488943,24.165264,24.165264,29.576727,1.5 deg at 50% with small overshoot
2021,LBR,26.48262,15.215824,15.215824,16.903215,1.5 deg at 50% with small overshoot
2021,LBY,34.38971,63.22985,63.22985,78.93386,1.5 deg at 50% with small overshoot
2021,LCA,0.92053384,0.40225354,0.40225354,0.49222028,1.5 deg at 50% with small overshoot
2021,LDC,,,1745.0292,,1.5 deg at 50% with small overshoot
2021,LIE,,,0.124901496,,1.5 deg at 50% with small overshoot
2021,LKA,111.88366,23.759752,23.759752,29.146162,1.5 deg at 50% with small overshoot
2021,LSO,11.610925,4.369179,4.369179,4.9414334,1.5 deg at 50% with small overshoot
2021,LTU,14.44672,16.139057,16.139057,21.275118,1.5 deg at 50% with small overshoot
2021,LUX,3.2444322,8.484868,8.484868,12.382978,1.5 deg at 50% with small overshoot
2021,LVA,9.719514,11.175839,11.175839,14.488206,1.5 deg at 50% with small overshoot
2021,MAR,189.31628,69.485306,69.485306,82.82552,1.5 deg at 50% with small overshoot
2021,MCO,,,,,1.5 deg at 50% with small overshoot
2021,MDA,15.848998,3.2245975,3.2245975,3.9026525,1.5 deg at 50% with small overshoot
2021,MDG,146.71138,20.119251,20.119251,22.404696,1.5 deg at 50% with small overshoot
2021,MDV,2.6612823,1.7205789,1.7205789,2.1384003,1.5 deg at 50% with small overshoot
2021,MEX,649.8523,609.2185,609.2185,762.98145,1.5 deg at 50% with small overshoot
2021,MHL,,,0.152931,,1.5 deg at 50% with small overshoot
2021,MKD,10.834909,6.6338286,6.6338286,8.260431,1.5 deg at 50% with small overshoot
2021,MLI,110.80687,6.456356,6.456356,7.2811656,1.5 deg at 50% with small overshoot
2021,MLT,2.6243923,1.5573729,1.5573729,2.0918715,1.5 deg at 50% with small overshoot
2021,MMR,275.05835,146.3723,146.3723,170.36394,1.5 deg at 50% with small overshoot
2021,MNE,3.2532632,0.7443399,0.7443399,0.93736815,1.5 deg at 50% with small overshoot
2021,MNG,17.01868,35.05728,35.05728,42.839413,1.5 deg at 50% with small overshoot
2021,MOZ,162.16725,42.13245,42.13245,46.600758,1.5 deg at 50% with small overshoot
2021,MRT,23.38451,5.089625,5.089625,5.971667,1.5 deg at 50% with small overshoot
2021,MUS,6.6607018,4.120411,4.120411,5.2173424,1.5 deg at 50% with small overshoot
